City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,maceio,-9.6658,-35.7353,28.69,69,75,6.69,BR,1696862688
174,saldanha,-33.0117,17.9442,27.03,70,14,6.14,ZA,1696862954
175,murray bridge,-35.1167,139.2667,11.85,88,12,1.67,AU,1696862954
176,mgandu,-5.95,34.1333,29.98,22,80,4.24,TZ,1696862955
177,homer,59.6425,-151.5483,6.0,85,100,0.45,US,1696862955
178,korfovskiy,48.2183,135.0564,9.51,79,3,1.88,RU,1696862956
179,kogalym,62.2654,74.4791,7.74,87,86,8.7,RU,1696862956
180,okha,53.5739,142.9478,4.23,77,25,4.0,RU,1696862956
181,alofi,-19.0595,-169.9187,19.94,94,40,1.54,NU,1696862957
182,lorengau,-2.0226,147.2712,26.99,81,29,3.03,PG,1696862957
183,onguday,50.75,86.15,8.43,71,68,1.53,RU,1696862958
184,susuman,62.7833,148.1667,-8.34,96,98,1.34,RU,1696862958
185,basco,20.4487,121.9702,28.52,72,77,8.37,PH,1696862959
186,port-gentil,-0.7193,8.7815,27.98,78,75,4.63,GA,1696862959
187,port alfred,-33.5906,26.891,15.1,85,100,2.24,ZA,1696862960
188,khash,28.2211,61.2158,26.59,18,0,4.22,IR,1696862960
189,grand falls-windsor,48.9332,-55.6649,10.84,83,100,0.89,CA,1696862961
190,tura,25.5198,90.2201,22.78,92,36,1.78,IN,1696862961
191,bridgewater,44.3835,-64.5155,17.6,71,30,7.2,CA,1696862962
192,happy valley-goose bay,53.3168,-60.3315,15.17,77,75,3.09,CA,1696862962
193,hadithah,34.1397,42.3781,31.87,21,91,3.95,IQ,1696862963
194,taro,-8.3862,115.28,23.0,95,44,0.73,ID,1696862963
195,zaozersk,69.4005,32.4476,0.63,80,99,3.37,RU,1696862964
196,alice springs,-23.7,133.8833,13.75,30,0,0.0,AU,1696862794
197,copiapo,-27.3667,-70.3333,12.83,29,0,2.79,CL,1696862965
198,carthage,36.8611,10.3316,26.74,61,20,5.14,TN,1696862965
199,carnarvon,-24.8667,113.6333,21.87,76,90,6.04,AU,1696862966
200,le port,-20.9373,55.2919,25.0,97,80,1.65,RE,1696862966
201,portland,45.5234,-122.6762,16.22,81,100,2.06,US,1696862430
